player,ref,pattern,style,Nstrokes,Tprep_mean,Tprep_SD,Zprep_mean,Zprep_SD,Tstroke_mean,Tstroke_SD,MAGstroke_mean,MAGstroke_SD,MAGreb_mean,MAGreb_SD,Ratio_mean,Ratio_SD
DP01 ,M ,2,L,50.0,219.45,23.654022,822.616413,44.151326,310.65,26.155978,91.2,16.09316,3746.065004,672.102706,1694.786158,343.169808
DP16 ,M ,1,P,50.0,224.6,10.848681,908.0606650000001,19.280195000000003,327.9,12.771141,103.3,6.377576,4201.477642,238.545132,1641.970717,111.60029499999999
DP13 ,M ,2,P,50.0,244.95,25.437448,892.274809,18.884372,351.25,29.234494,106.3,9.247724,3833.019543,236.77212200000002,1765.434432,219.22704500000003
DP04 ,M ,1,L,38.0,235.526316,26.864009000000003,888.219423,21.630606,298.94736800000004,24.053933999999998,63.421053,8.937111999999999,7108.281406,557.7024389999999,1585.239692,565.602235
DP10 ,M ,2,N,51.0,193.77451000000002,9.197453,899.082792,27.415556,310.735294,11.37205,116.960784,7.767138,4267.281459000001,806.596805,2005.309943,208.57397
DP13 ,R ,2,O,54.0,258.935185,39.338882,890.1339849999999,14.540348999999999,365.555556,40.793043,106.62037,6.6438619999999995,3677.423437,219.81646099999998,1667.236073,141.871933
DP16 ,R ,1,O,50.0,229.55,10.160573,954.9261939999999,8.023789,355.1,10.037684,125.55,4.581741,4067.710823,116.864281,1670.574581,51.725908000000004
DP15 ,M ,1,N,48.0,198.229167,7.051450999999999,921.488771,16.2089,325.416667,9.114131,127.1875,6.137281,4007.0476229999995,187.205407,1398.959331,167.14706999999999
DP21 ,R ,2,L,52.0,252.932692,27.99125,937.8527939999999,13.063406,369.903846,30.008012,116.971154,4.859207,4899.636606,301.882905,1332.00721,163.755435
DP08 ,R ,1,L,51.0,248.921569,21.709761,944.823234,16.816279,358.72549,27.610561999999998,109.803922,8.044300999999999,6212.857394,331.105503,1559.901693,320.69838300000004
DP17 ,R ,1,P,49.0,195.408163,10.462569,965.955393,13.695070000000001,297.040816,14.547635999999999,101.632653,6.261469,5116.628879,248.836473,1819.711791,110.992581
DP12 ,R ,2,P,52.0,196.298077,11.381211,827.160355,12.308599000000001,278.75,12.646204,82.451923,5.060671,3125.081075,188.204302,1239.1138640000001,87.687793
DP12 ,M ,2,O,50.0,208.55,6.56774,886.7555789999999,21.957626,308.5,8.556535,99.95,7.961803,4104.695183,287.399396,1515.204117,148.87221399999999
DP11 ,R ,2,N,48.0,205.572917,8.995264,872.609509,11.871603,311.510417,9.767777,105.9375,6.454114,4142.101204,275.780999,1246.181223,147.347212
DP14 ,R ,1,N,48.0,191.354167,7.346991,974.097749,10.490026,327.395833,10.804825,136.041667,5.4537059999999995,4427.009886,180.26353899999998,1446.069653,182.194408
DP17 ,M ,1,O,49.0,211.12244900000002,7.790572999999999,980.447467,13.374848000000002,321.27551,10.118085,110.15306100000001,4.460713,5002.501757999999,238.66075299999997,1688.031172,93.006302
DP20 ,M ,2,L,48.0,207.916667,6.509676,986.6880279999999,15.355682,318.697917,8.186483,110.78125,4.73096,6123.5483509999995,307.25226499999997,2502.20148,146.340173
DP15 ,R ,1,L,48.0,206.510417,17.264676,950.909153,15.958034,320.729167,17.871872,114.21875,8.523375999999999,5460.9571909999995,262.515143,1371.446957,243.86115800000002
